Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.80260197908649,1.8164667942190134;"{""coordinates"": [1.816466794219013, 48.80260197908649], ""type"": ""Point""}";553.0;Montfort-L'Amaury-Méré;Montfort-L'Amaury-Méré;;;63955.0;Montfort-l'Amaury - Méré;46850.0;Montfort-l'Amaury - Méré;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01847;C01736;TRAIN N;N;TRAIN N;SNCF;1.0;0.0;613073.0002999976;6856487.590399999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8;Montfort-L'Amaury-Méré
48.79538383469942,2.5134232995458956;"{""coordinates"": [2.513423299545896, 48.79538383469942], ""type"": ""Point""}";405.0;La Varenne-Chennevières;La Varenne-Chennevières;;;72998.0;La Varenne - Chennevières;43146.0;La Varenne - Chennevières;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;RATP;1.0;0.0;664256.3285999969;6855143.671599999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;La Varenne-Chennevières
48.93073957030266,2.4257914269147416;"{""coordinates"": [2.425791426914742, 48.93073957030266], ""type"": ""Point""}";427.0;Le Bourget;Le Bourget;;;72641.0;Le Bourget;43231.0;Le Bourget;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;SNCF;1.0;0.0;657928.4900999963;6870237.4879;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Bourget
48.805377661240556,2.4863497487790744;"{""coordinates"": [2.486349748779074, 48.805377661240556], ""type"": ""Point""}";431.0;Le Parc de Saint-Maur;Le Parc de Saint-Maur;;;70359.0;Le Parc de Saint-Maur;43234.0;Le Parc de Saint-Maur;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;RATP;1.0;0.0;662274.7753000036;6856267.452300001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Parc de Saint-Maur
48.824848568572456,2.511855552089057;"{""coordinates"": [2.511855552089057, 48.824848568572456], ""type"": ""Point""}";446.0;Les Boullereaux-Champigny;Les Boullereaux-Champigny;;;73098.0;Les Boullereaux Champigny;58267.0;Les Boullereaux Champigny;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01843;C01729;RER E;E;RER E;SNCF;1.0;0.0;664161.4174000025;6858420.515299998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/528f29b53fa23aaf2d4c4f0b14c0bf87;Les Boullereaux-Champigny
49.11478396916487,2.210019869292197;"{""coordinates"": [2.210019869292197, 49.11478396916487], ""type"": ""Point""}";470.0;L'Isle-Adam-Parmain;L'Isle-Adam-Parmain;;;67172.0;L'Isle-Adam - Parmain;47589.0;L'Isle-Adam - Parmain;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;642324.4147000015;6890841.008200001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;L'Isle-Adam-Parmain
48.51026517524609,2.6789739826858967;"{""coordinates"": [2.678973982685897, 48.51026517524609], ""type"": ""Point""}";471.0;Livry-sur-Seine;Livry-sur-Seine;;;61826.0;Livry-sur-Seine;45804.0;Livry-sur-Seine;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01845;C01731;TRAIN R;R;TRAIN R;SNCF;1.0;0.0;676288.6410999969;6823383.544399999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/4ddabed87b80181debb386c00af5d5bb;Livry-sur-Seine
49.11713213055647,2.420107034171445;"{""coordinates"": [2.420107034171445, 49.11713213055647], ""type"": ""Point""}";485.0;Luzarches;Luzarches;;;67177.0;Luzarches;47528.0;Luzarches;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;TRAIN H;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;1.0;657664.2410999984;6890969.121300001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Luzarches
48.71694628666404,2.245672514581906;"{""coordinates"": [2.245672514581906, 48.71694628666404], ""type"": ""Point""}";616.0;Palaiseau;Palaiseau;;;63175.0;Palaiseau;47009.0;Palaiseau;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1.0;0.0;644504.6761000007;6846577.527800001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Palaiseau
49.123451853141134,1.9493326816498444;"{""coordinates"": [1.949332681649844, 49.123451853141134], ""type"": ""Point""}";783.0;Santeuil-le-Perchay;Santeuil-le-Perchay;;;67196.0;Santeuil - Le Perchay;47949.0;Santeuil - Le Perchay;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01852;C01739;TRAIN J;J;TRAIN J;SNCF;1.0;0.0;623305.7395000011;6892026.812899999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751;Santeuil-le-Perchay
