id;name;ligne;terminus;lat;long;links
60;Saint-Sulpice;4;0;48.85167224469909;2.331256291370013;"116;104"
272;Simplon;4;0;48.89394138710839;2.347765501718976;"203;171"
107;Strasbourg-Saint-Denis;4;0;48.86949077358111;2.3543917683937066;"17;366"
201;Vavin;4;0;48.842218412692674;2.3290089262354026;"293;365"
341;Étienne Marcel;4;0;48.863807436860455;2.348880652588476;"366;313"
70;Anatole France;3;0;48.89208278505407;2.285009502746195;"139;177"
7;Arts et Métiers;3;0;48.86558647667889;2.356736756806097;"43;41"
155;Bourse;3;0;48.86869597692208;2.3407207236740963;"112;271"
21;Europe;3;0;48.87877036756607;2.322265213118895;"222;205"
56;Gallieni;3;1;48.865335316340186;2.4166972728577103;298
373;Gambetta;3;0;48.864916684131046;2.3989844402480727;"98;298"
148;Havre-Caumartin;3;0;48.87351338866701;2.32754308036367;"205;186"
177;Louise Michel;3;0;48.888706018854414;2.288083633048504;"70;59"
138;Malesherbes;3;0;48.882891916533374;2.309052264550479;"117;222"
186;Opéra;3;0;48.87099178302771;2.331989522683247;"148;112"
179;Parmentier;3;0;48.865253785133525;2.3745819699964126;"367;286"
152;Pereire-Levallois;3;0;48.88489625422978;2.297724346480177;"59;117"
139;Pont de Levallois;3;1;48.8978210661906;2.2798095866931014;70
298;Porte de Bagnolet;3;0;48.86460037245484;2.408031037075815;"373;56"
59;Porte de Champerret;3;0;48.88579310431026;2.2925823141029125;"177;152"
98;Père Lachaise;3;0;48.86312321372127;2.3858824493261475;"286;373"
112;Quatre Septembre;3;0;48.86958524256371;2.3362188475216743;"186;155"
286;Rue Saint-Maur;3;0;48.86408657383018;2.380797986183677;"179;98"
43;Réaumur Sébastopol;3;0;48.86634029836775;2.3520683180500703;"271;7"
367;République;3;0;48.867026786647024;2.364247993752544;"41;179"
205;Saint-Lazare;3;0;48.87500639713424;2.324574810293918;"21;148"
271;Sentier;3;0;48.867309474050735;2.347516213278753;"155;43"
41;Temple;3;0;48.86668267932052;2.361541532068171;"7;367"
222;Villiers;3;0;48.88115002755392;2.315176626220464;"138;21"
117;Wagram;3;0;48.88380920031262;2.304674440528396;"152;138"
237;Argentine;1;0;48.8755940489459;2.289322589613773;"142;0"
125;Bastille;1;0;48.85247942191548;2.3693205849253864;"187;310"
9;Bérault;1;0;48.84547070666273;2.429205166348;"378;81"
208;Champs-Élysées – Clemenceau;1;0;48.867905343976304;2.313545549946742;"385;250"
0;Charles De Gaulle-Étoile;1;0;48.87514981881486;2.295904906076515;"237;336"
81;Château de Vincennes;1;1;48.84445639364827;2.4404399780572463;9
163;Châtelet;1;0;48.85879919715299;2.3473058527477635;"29;167"
250;Concorde;1;0;48.86628580366308;2.322943412243541;"208;307"
311;Esplanade de la Défense;1;0;48.88863121685044;2.247932435324861;"4;131"
385;Franklin D. Roosevelt;1;0;48.86980821927816;2.3074707934478305;"336;208"
310;Gare de Lyon;1;0;48.84602764846217;2.374962918873459;"125;199"
336;George V;1;0;48.872023808579655;2.3005604512487974;"0;385"
167;Hôtel de Ville;1;0;48.85747798160854;2.351577562994996;"163;187"
4;La Défense;1;1;48.89218707552876;2.237018056395013;311
94;Les Sablons;1;0;48.88119151966529;2.2716867210509832;"131;142"
29;Louvre-Rivoli;1;0;48.8608062903513;2.3411085916340677;"351;163"
153;Nation;1;0;48.847579366556246;2.395554512170688;"199;215"
351;Palais Royal - Musée du Louvre;1;0;48.86234802992701;2.336496462305488;"307;29"
131;Pont de Neuilly;1;0;48.88470820040179;2.2605150778881176;"311;94"
142;Porte Maillot;1;0;48.87755125088347;2.283162242230229;"94;237"
215;Porte de Vincennes;1;0;48.84715847848125;2.410140367974107;"153;378"
199;Reuilly-Diderot;1;0;48.84730378522036;2.386341706352172;"310;153"
378;Saint-Mandé;1;0;48.84635698797212;2.419479900374511;"215;9"
187;Saint-Paul;1;0;48.85523625187428;2.3609564886610004;"167;125"
307;Tuileries;1;0;48.86434377781312;2.330129877112861;"250;351"
322;Arts et Métiers;11;0;48.86532271075727;2.3567298691737006;"277;196"
240;Belleville;11;0;48.87184879283409;2.376593682744321;"338;111"
332;Châtelet;11;1;48.857556358448846;2.348308895125138;58
338;Goncourt;11;0;48.86995751178222;2.3710948397312004;"196;240"
58;Hôtel de Ville;11;0;48.85745183172161;2.3510084613948243;"332;277"
170;Jourdain;11;0;48.87511181603521;2.389415032035528;"111;268"
95;Mairie des Lilas;11;1;48.87976125307645;2.4164796436714395;275
268;Place des Fêtes;11;0;48.876806388299045;2.393056093323957;"170;40"
275;Porte des Lilas;11;0;48.87717481838472;2.406480156998486;"40;95"
111;Pyrénées;11;0;48.87388185323738;2.3853162151017924;"240;170"
277;Rambuteau;11;0;48.86120498940222;2.3534957401281624;"58;322"
196;République;11;0;48.86750342285805;2.3638261439774078;"322;338"
40;Télégraphe;11;0;48.87547445574471;2.3988675938988755;"268;275"
72;Aubervilliers Pantin - Quatre Chemins;7;0;48.90375992925017;2.392287059642349;"137;383"
245;Cadet;7;0;48.87589068097294;2.344126030464426;"302;174"
14;Censier-Daubenton;7;0;48.84048665172035;2.351739487166926;"182;262"
248;Chaussée d'Antin - La Fayette;7;0;48.8731092733884;2.333451218577799;"174;358"
226;Château-Landon;7;0;48.87856562487883;2.362160071922952;"296;292"
19;Châtelet;7;0;48.85705996536898;2.3477118799342187;"132;36"
335;Corentin Cariou;7;0;48.89483646748102;2.3825223434153635;"383;76"
76;Crimée;7;0;48.8907889686077;2.377315755595573;"335;134"
137;Fort d'Aubervilliers;7;0;48.91494975544953;2.4044090874277573;"210;72"
292;Gare de l'Est;7;0;48.876272702568;2.3580579043368988;"226;302"
257;Jussieu;7;0;48.84595066572124;2.3550502630610404;"39;182"
210;La Courneuve 8 Mai 1945;7;1;48.92078596902802;2.4105986137301376;137
261;Le Kremlin-Bicêtre;7;0;48.810129956353;2.362263387127349;"212;300"
174;Le Peletier;7;0;48.87487434245661;2.3401998843851697;"245;248"
262;Les Gobelins;7;0;48.83586348325906;2.352588925635323;"14;181"
296;Louis Blanc;7;0;48.88128581093757;2.3655443191724763;"106;226"
96;Mairie d'Ivry;7;1;48.81109919679061;2.3835514796491126;"355;202"
212;Maison Blanche;7;0;48.82243783366461;2.358473883854337;"61;109;261"
358;Opéra;7;0;48.87048670234939;2.332407406427907;"248;364"
31;Palais Royal - Musée du Louvre;7;0;48.86282967186915;2.3368783975967053;"364;132"
355;Pierre et Marie Curie;7;0;48.8159307621283;2.3772672001519357;"193;96"
182;Place Monge;7;0;48.84286682976181;2.352224728183084;"257;14"
181;Place d'Italie;7;0;48.83143363011098;2.355643643022595;"262;61"
302;Poissonnière;7;0;48.87723631821586;2.3492939024760044;"292;245"
36;Pont Marie;7;0;48.85357547158278;2.3571625716183373;"19;39"
132;Pont Neuf;7;0;48.85855382544588;2.342232759368107;"31;19"
109;Porte d'Italie;7;0;48.81922334868816;2.359705216746021;"212;359"
193;Porte d'Ivry;7;0;48.82135578289321;2.36929058734603;"359;355"
359;Porte de Choisy;7;0;48.81987622012899;2.3645319517472965;"109;193"
383;Porte de la Villette;7;0;48.89738988976188;2.385508387679288;"72;335"
364;Pyramides;7;0;48.86598091956565;2.334330724377939;"358;31"
134;Riquet;7;0;48.88826761604975;2.3742040120358627;"76;106"
106;Stalingrad;7;0;48.88438514443228;2.36939198436133;"134;296"
39;Sully-Morland;7;0;48.85123767946336;2.36198514100077;"36;257"
61;Tolbiac;7;0;48.8264260099548;2.3572456507586854;"181;212"
202;Villejuif - Louis Aragon;7;1;48.78756279113255;2.3678041069754565;"289;96"
300;Villejuif - Léo Lagrange;7;0;48.804688119990445;2.363953196602165;"261;289"
289;Villejuif Paul Vaillant-Couturier;7;0;48.7964830818381;2.3682695414327704;"300;202"
323;Avenue Émile Zola;10;0;48.84701958096015;2.295420478027581;"80;347"
6;Boulogne - Jean Jaurès;10;0;48.84200534636005;2.238887325790712;"317;304;90"
317;Boulogne - Pont de Saint-Cloud;10;1;48.84074501430605;2.2285369815049427;6
12;Cardinal Lemoine;10;0;48.84665685032922;2.3516232563785127;"89;256"
301;Chardon Lagache;10;0;48.8452047026687;2.266441543081952;"90;173"
